user_id,item_id
13019864,362510181
15350277,269983479
47594591,68727618
29762430,359547564
19138477,404179958
74356194,10831936
74356194,340476170
30625414,43092150
74356194,231886063
59398938,322473119
31662494,387464959
60086316,327030564
92342149,129489673
63249394,293703884
100901664,265753285
6620781,139399710
83612546,285351978
68342216,332172327
68342216,4691442
70500246,81381621
108519036,97499630
108519036,84847076
70500246,150365789
121800511,224903007
140267624,202521039
140267624,239072495
129979590,67413136
18261127,275014149
4606353,323624091
4606353,285605595
122944530,38819495
43031779,336629554
33787718,54013218
55197721,203508127
21968836,52109292
41993449,248320003
4310004,64889446
59540964,263589552
42331282,73175029
57296514,253409333
57296514,277214837
100715671,216429874
76945122,119181376
74120477,101795752
105321705,159881048
8934646,320555163
50915402,166029601
119132467,50758487
119132467,173967890
124329270,295435284
50915402,128202868
113455084,12323260
124761589,295085006
3153929,42119601
122588387,371172251
127097416,320258412
82094172,338160035
130699981,131131687
82094172,63251051
54456627,366747646
72239230,200349150
2869892,4648627
2869892,127904647
29552918,396041707
96263195,143681566
899031,138768145
899031,60389610
103482353,239418893
123337404,221796861
123337404,395851684
138824382,29268353
138824382,150607745
123337404,27257813
123337404,277032383
138824382,195478339
138824382,155385501
138824382,34439505
138824382,358930327
123337404,207240670
92500742,346095884
123337404,88731988
123337404,171450842
22132823,157984068
19658853,369068917
141289984,235865814
41759212,310301897
48977926,124451132
121094926,104750296
91296173,64934937
99759576,345122137
44318358,303332977
9804081,16084961
60284321,18140542
101510566,198134270
101510566,170672186
105261505,178996568
101510566,318444241
101510566,391000047
120736960,331706270
34263408,183724158
120736960,380740501
120736960,24834552
120736960,181090484
122331001,260832261
90130475,168653733
94602958,373734956
120736960,303861049
44170704,174758116
98330735,197767230
43580053,123509742
112947025,232214924
85932424,17712290
56970482,22355937
105854400,280661851
33469659,129979856
33469659,48387936
6794243,160283986
46129044,71649890
88959033,239549644
104455138,219881506
61414783,252712007
119198255,89755913
109867332,249924251
109867332,60616783
131093879,228952850
61414783,325774725
61414783,221710051
112083774,339241689
125422709,229115728
10886351,339685580
125422709,373574115
125422709,200974674
101673063,99592351
14217475,165773833
95335821,236504880
77053167,160989071
